Question,Answer
What species does Sapiens focus on?,"Homo sapiens, our own species."
When did Homo sapiens first appear?,"Around 200,000 years ago in Africa."
What was the Cognitive Revolution?,"A time about 70,000 years ago when humans developed advanced language and imagination."
What helped humans cooperate in large groups?,"Shared myths, stories, and beliefs."
What did hunter-gatherers mostly eat?,"A mix of plants, fruits, and small animals."
Why did farming change human life?,It created food surplus but also harder work and social hierarchies.
What is the Agricultural Revolution?,"The shift from foraging to farming, about 12,000 years ago."
What was one downside of agriculture?,Peopleâ€™s diets worsened and diseases spread in crowded villages.
What role did religion play in history?,It united large groups of people under shared beliefs.
What started the Scientific Revolution?,"Around 500 years ago, when people began trusting observation and experiments over tradition."
What allowed humans to spread across the world?,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,Hunting and gathering.
Why are shared myths powerful?,They allow strangers to trust each other.
What were the first cities built around?,Agriculture and trade.
What is money described as?,A universal fiction that helps exchange value.
Why is money so successful?,Because everyone believes in its value.
What is an empire?,A political order that rules many peoples and cultures.
Why do empires last long?,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.
What was the impact of writing?,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,Hunting and gathering.
Why are shared myths powerful?,They allow strangers to trust each other.
What were the first cities built around?,Agriculture and trade.
What is money described as?,A universal fiction that helps exchange value.
Why is money so successful?,Because everyone believes in its value.
What is an empire?,A political order that rules many peoples and cultures.
Why do empires last long?,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.
What was the impact of writing?,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,Hunting and gathering.
Why are shared myths powerful?,They allow strangers to trust each other.
What were the first cities built around?,Agriculture and trade.
What is money described as?,A universal fiction that helps exchange value.
Why is money so successful?,Because everyone believes in its value.
What is an empire?,A political order that rules many peoples and cultures.
Why do empires last long?,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.
What was the impact of writing?,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,Hunting and gathering.
Why are shared myths powerful?,They allow strangers to trust each other.
What were the first cities built around?,Agriculture and trade.
What is money described as?,A universal fiction that helps exchange value.
Why is money so successful?,Because everyone believes in its value.
What is an empire?,A political order that rules many peoples and cultures.
Why do empires last long?,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.
What was the impact of writing?,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,Hunting and gathering.
Why are shared myths powerful?,They allow strangers to trust each other.
What were the first cities built around?,Agriculture and trade.
What is money described as?,A universal fiction that helps exchange value.
Why is money so successful?,Because everyone believes in its value.
What is an empire?,A political order that rules many peoples and cultures.
Why do empires last long?,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.
What was the impact of writing?,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,Hunting and gathering.
Why are shared myths powerful?,They allow strangers to trust each other.
What were the first cities built around?,Agriculture and trade.
What is money described as?,A universal fiction that helps exchange value.
Why is money so successful?,Because everyone believes in its value.
What is an empire?,A political order that rules many peoples and cultures.
Why do empires last long?,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.
What was the impact of writing?,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,Hunting and gathering.
Why are shared myths powerful?,They allow strangers to trust each other.
What were the first cities built around?,Agriculture and trade.
What is money described as?,A universal fiction that helps exchange value.
Why is money so successful?,Because everyone believes in its value.
What is an empire?,A political order that rules many peoples and cultures.
Why do empires last long?,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.
What was the impact of writing?,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,Hunting and gathering.
Why are shared myths powerful?,They allow strangers to trust each other.
What were the first cities built around?,Agriculture and trade.
What is money described as?,A universal fiction that helps exchange value.
Why is money so successful?,Because everyone believes in its value.
What is an empire?,A political order that rules many peoples and cultures.
Why do empires last long?,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.
What was the impact of writing?,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,Hunting and gathering.
Why are shared myths powerful?,They allow strangers to trust each other.
What were the first cities built around?,Agriculture and trade.
What is money described as?,A universal fiction that helps exchange value.
Why is money so successful?,Because everyone believes in its value.
What is an empire?,A political order that rules many peoples and cultures.
Why do empires last long?,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.
What was the impact of writing?,It allowed large societies to manage records and laws.
