Question,ModelResult,ActualAnswer
What species does Sapiens focus on?,foragers,"Homo sapiens, our own species."
When did Homo sapiens first appear?,"16,000 years ago","Around 200,000 years ago in Africa."
What was the Cognitive Revolution?,"3 This, after all, was one of the main legacies of the Cognitive Revolution.","A time about 70,000 years ago when humans developed advanced language and imagination."
What helped humans cooperate in large groups?,"The ability to transmit larger quantities of groups, numbering up to 150 information about Sapiens social relationships individuals The ability to transmit information about things a. Cooperation between very that do not really exist, such as tribal spirits, large numbers of strangers","Shared myths, stories, and beliefs."
What did hunter-gatherers mostly eat?,fruits and mushrooms,"A mix of plants, fruits, and small animals."
Why did farming change human life?,(iii),It created food surplus but also harder work and social hierarchies.
What is the Agricultural Revolution?,the ability to keep more people alive under worse conditions,"The shift from foraging to farming, about 12,000 years ago."
What was one downside of agriculture?,(iii),Peopleâ€™s diets worsened and diseases spread in crowded villages.
What role did religion play in history?,give superhuman legitimacy to these fragile structures,It united large groups of people under shared beliefs.
What started the Scientific Revolution?,"The Scienti c Revolution, which got under way only 500 years ago, may well end history and start something completely di erent","Around 500 years ago, when people began trusting observation and experiments over tradition."
What allowed humans to spread across the world?,The Agricultural Revolution,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,"A band of Homo sapiens gathering mushrooms and nuts and hunting deer and rabbit did not all of a sudden settle in a permanent village, ploughing elds, sowing wheat and carrying water from the river",Hunting and gathering.
Why are shared myths powerful?,Because they are rooted in common myths that exist only in peoples collective imagination.,They allow strangers to trust each other.
What were the first cities built around?,a three-storey building was a skyscraper,Agriculture and trade.
What is money described as?,Money,A universal fiction that helps exchange value.
Why is money so successful?,It works by converting matter into mind.,Because everyone believes in its value.
What is an empire?,An empire is a political order with two important characteristics,A political order that rules many peoples and cultures.
Why do empires last long?,They tend to leave behind rich and enduring legacies,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.,The idea of belonging to a shared nation.
What was the impact of writing?,it has gradually changed the way humans think and view the world,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,The Agricultural Revolution,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,"A band of Homo sapiens gathering mushrooms and nuts and hunting deer and rabbit did not all of a sudden settle in a permanent village, ploughing elds, sowing wheat and carrying water from the river",Hunting and gathering.
Why are shared myths powerful?,(iii),They allow strangers to trust each other.
What were the first cities built around?,a three-storey building was a skyscraper,Agriculture and trade.
What is money described as?,Money,A universal fiction that helps exchange value.
Why is money so successful?,It works by converting matter into mind.,Because everyone believes in its value.
What is an empire?,An empire is a political order with two important characteristics,A political order that rules many peoples and cultures.
Why do empires last long?,They tend to leave behind rich and enduring legacies,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.,The idea of belonging to a shared nation.
What was the impact of writing?,it has gradually changed the way humans think and view the world,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,The Agricultural Revolution,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,"A band of Homo sapiens gathering mushrooms and nuts and hunting deer and rabbit did not all of a sudden settle in a permanent village, ploughing elds, sowing wheat and carrying water from the river",Hunting and gathering.
Why are shared myths powerful?,(iii),They allow strangers to trust each other.
What were the first cities built around?,iii.,Agriculture and trade.
What is money described as?,(iii),A universal fiction that helps exchange value.
Why is money so successful?,Because it works by converting matter into mind.,Because everyone believes in its value.
What is an empire?,An empire is a political order with two important characteristics,A political order that rules many peoples and cultures.
Why do empires last long?,They tend to leave behind rich and enduring legacies,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.,The idea of belonging to a shared nation.
What was the impact of writing?,it has gradually changed the way humans think and view the world,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,The Agricultural Revolution,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,"A band of Homo sapiens gathering mushrooms and nuts and hunting deer and rabbit did not all of a sudden settle in a permanent village, ploughing elds, sowing wheat and carrying water from the river",Hunting and gathering.
Why are shared myths powerful?,(iii),They allow strangers to trust each other.
What were the first cities built around?,a three-storey building was a skyscraper,Agriculture and trade.
What is money described as?,Money,A universal fiction that helps exchange value.
Why is money so successful?,Because it works by converting matter into mind.,Because everyone believes in its value.
What is an empire?,An empire is a political order with two important characteristics,A political order that rules many peoples and cultures.
Why do empires last long?,They tend to leave behind rich and enduring legacies,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.,The idea of belonging to a shared nation.
What was the impact of writing?,it has gradually changed the way humans think and view the world,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,The Agricultural Revolution,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,"A band of Homo sapiens gathering mushrooms and nuts and hunting deer and rabbit did not all of a sudden settle in a permanent village, ploughing elds, sowing wheat and carrying water from the river",Hunting and gathering.
Why are shared myths powerful?,(iii),They allow strangers to trust each other.
What were the first cities built around?,a three-storey building was a skyscraper,Agriculture and trade.
What is money described as?,Money,A universal fiction that helps exchange value.
Why is money so successful?,(iii),Because everyone believes in its value.
What is an empire?,An empire is a political order with two important characteristics,A political order that rules many peoples and cultures.
Why do empires last long?,They tend to leave behind rich and enduring legacies,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.,The idea of belonging to a shared nation.
What was the impact of writing?,it has gradually changed the way humans think and view the world,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,The Agricultural Revolution,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,"A band of Homo sapiens gathering mushrooms and nuts and hunting deer and rabbit did not all of a sudden settle in a permanent village, ploughing elds, sowing wheat and carrying water from the river",Hunting and gathering.
Why are shared myths powerful?,(iii),They allow strangers to trust each other.
What were the first cities built around?,a three-storey building was a skyscraper,Agriculture and trade.
What is money described as?,(iii),A universal fiction that helps exchange value.
Why is money so successful?,Because it works by converting matter into mind.,Because everyone believes in its value.
What is an empire?,An empire is a political order with two important characteristics,A political order that rules many peoples and cultures.
Why do empires last long?,They tend to leave behind rich and enduring legacies,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.,The idea of belonging to a shared nation.
What was the impact of writing?,it has gradually changed the way humans think and view the world,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,The Agricultural Revolution,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,"A band of Homo sapiens gathering mushrooms and nuts and hunting deer and rabbit did not all of a sudden settle in a permanent village, ploughing elds, sowing wheat and carrying water from the river",Hunting and gathering.
Why are shared myths powerful?,(iii),They allow strangers to trust each other.
What were the first cities built around?,a three-storey building was a skyscraper,Agriculture and trade.
What is money described as?,Money,A universal fiction that helps exchange value.
Why is money so successful?,(iii),Because everyone believes in its value.
What is an empire?,An empire is a political order with two important characteristics,A political order that rules many peoples and cultures.
Why do empires last long?,They tend to leave behind rich and enduring legacies,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.,The idea of belonging to a shared nation.
What was the impact of writing?,it has gradually changed the way humans think and view the world,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,The Agricultural Revolution,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,"A band of Homo sapiens gathering mushrooms and nuts and hunting deer and rabbit did not all of a sudden settle in a permanent village, ploughing elds, sowing wheat and carrying water from the river",Hunting and gathering.
Why are shared myths powerful?,(iii),They allow strangers to trust each other.
What were the first cities built around?,a three-storey building was a skyscraper,Agriculture and trade.
What is money described as?,Money,A universal fiction that helps exchange value.
Why is money so successful?,It works by converting matter into mind.,Because everyone believes in its value.
What is an empire?,An empire is a political order with two important characteristics,A political order that rules many peoples and cultures.
Why do empires last long?,They tend to leave behind rich and enduring legacies,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.,The idea of belonging to a shared nation.
What was the impact of writing?,it has gradually changed the way humans think and view the world,It allowed large societies to manage records and laws.
What allowed humans to spread across the world?,The Agricultural Revolution,Their ability to adapt and cooperate.
What was the main lifestyle of humans before farming?,"A band of Homo sapiens gathering mushrooms and nuts and hunting deer and rabbit did not all of a sudden settle in a permanent village, ploughing elds, sowing wheat and carrying water from the river",Hunting and gathering.
Why are shared myths powerful?,(iii),They allow strangers to trust each other.
What were the first cities built around?,a three-storey building was a skyscraper,Agriculture and trade.
What is money described as?,Money,A universal fiction that helps exchange value.
Why is money so successful?,It works by converting matter into mind.,Because everyone believes in its value.
What is an empire?,An empire is a political order with two important characteristics,A political order that rules many peoples and cultures.
Why do empires last long?,They tend to leave behind rich and enduring legacies,"They spread culture, trade, and order."
What is nationalism?,The idea of belonging to a shared nation.,The idea of belonging to a shared nation.
What was the impact of writing?,it has gradually changed the way humans think and view the world,It allowed large societies to manage records and laws.
